Designator,Footprint,Quantity,Value,LCSC Part #
C1,LED_0805,1,"4,7u",
"C10, C11, C2",LED_0805,3,1u,
"C3, C4, C5, C6, C7, C8, C9",LED_0805,7,100n,
"D1, D10, D11, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,14,Diode,
"D12, D13, D14, D15",LED_WS2812B,4,LED_WS2812B,
F1,Resistor_1206,1,500mA,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
R1,Resistor_0805,1,10k,
"R2, R3",Resistor_0805,2,5k1,
R4,Resistor_0805,1,100k,
"S1, S10, S11, S12, S2, S3, S4, S5, S6, S7, S8, S9",Hotswap_MX_1.00u,12,Keyswitch,
SW1,SW_SPST_TS-1088-xR020,1,RST,
SW2,SW_SPST_TS-1088-xR020,1,boot,
"SW3, SW4",keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12,2,RotaryEncoder_Switch,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
U2,SOT-666,1,USBLC6-2P6,
U3,SOT-23-3,1,XC6206PxxxMR,
U4,SOT-353_SC-70-5_Handsoldering,1,74AHC1G125,
